Experiment,Best Fitness,Mean Fitness,Median Fitness,Worst Fitness,Standard Deviation,Experiment Time,Number of Unique Individuals,Number of Feasible Individuals,Number of Infeasible Individuals,Best Individual,Constraints
7,5888.604071840818,5892.847396967933,5888.604071840818,8292.138126639036,79.30675777990966,39.44837045669556,14,1000,0,[  0.84090675   0.43558584  43.56821532 159.24226582],"[-4.019859521853242e-05, -0.019945070318861446, -31.41034032171592, -80.75773418226325, -5888.604071840818, -0.778406754317478, -0.3730858444945275, -5.346593245682522, -5.751914155505473, -156.43178467760313, -40.75773418226325, -33.56821532239686, -149.24226581773675]"
30,5913.988107822622,5919.277756594118,5914.000617800761,7139.064317846597,60.75260051098516,32.3167245388031,15,998,2,[  0.90623787   0.44852253  46.95431319 124.50878411],"[-1.9623566180460017e-05, -0.0005783811965976438, -10.088720962638035, -115.49121588757157, -5913.988107822622, -0.8437378681422659, -0.3860225290336886, -5.281262131857734, -5.7389774709663115, -153.04568680952926, -75.49121588757157, -36.95431319047075, -114.50878411242843]"
4,5914.185710317935,5920.631733641584,5914.185710317935,7078.152770606952,60.83458117385196,34.22395372390747,13,999,1,[  0.90624143   0.46268246  46.95204256 124.52850008],"[-6.700509497037377e-05, -0.014759978341529978, -0.3243846879340708, -115.47149991843149, -5914.185710317935, -0.8437414265956085, -0.400182464409721, -5.281258573404392, -5.724817535590279, -153.0479574352001, -75.47149991843149, -36.952042564799896, -114.52850008156851]"
16,5914.702032369465,5920.647770924716,5914.702032369465,7629.257885387464,79.36033347864844,33.89775061607361,18,998,2,[  0.90623271   0.45159028  46.94709228 124.57454397],"[-0.00015383321151973828, -0.0037150214851898733, -0.17021229700185359, -115.42545602869583, -5914.702032369465, -0.8437327142137461, -0.38909028183551314, -5.281267285786254, -5.7359097181644865, -153.0529077200919, -75.42545602869583, -36.9470922799081, -114.57454397130417]"
73,5914.725718956267,5917.708387065627,5914.725718956267,7487.658549406841,54.90628594555347,32.386677980422974,11,1000,0,[  0.90615645   0.46012635  46.94761465 124.57247754],"[-6.749066682509852e-05, -0.0122461034026215, -19.525193742476404, -115.42752245579429, -5914.725718956267, -0.8436564534271691, -0.39762634717120604, -5.281343546572831, -5.727373652828794, -153.05238534920497, -75.42752245579429, -36.947614650795025, -114.57247754420571]"
55,5914.742183762339,5918.108794835871,5914.742183762339,7078.922259825786,45.4458756996729,31.36083698272705,13,1000,0,[  0.90618621   0.45066863  46.94670418 124.57814238],"[-0.00011482085943670395, -0.0027970722566005857, -0.07558487635105848, -115.42185762185619, -5914.742183762339, -0.8436862115709217, -0.3881686301523294, -5.281313788429078, -5.73683136984767, -153.0532958180578, -75.42185762185619, -36.94670418194222, -114.57814237814381]"
72,5915.297881416179,5923.857296589395,5915.297881416179,7488.5381011356085,101.26633351082893,34.743409872055054,12,999,1,[  0.9060662    0.45012465  46.94140779 124.62753152],"[-9.703041150521674e-05, -0.0023036242265369045, -0.6798558188602328, -115.37246848090219, -5915.297881416179, -0.843566200675958, -0.38762465450233374, -5.281433799324042, -5.737375345497666, -153.05859221427707, -75.37246848090219, -36.94140778572294, -114.62753151909781]"
77,5915.568858638169,5919.400862138681,5915.568858638169,7488.946778621203,55.27904152354468,32.06950569152832,15,1000,0,[  0.90601623   0.46293188  46.93885717 124.65143953],"[-9.628668913608252e-05, -0.015135185823168307, -1.7892823975998908, -115.34856047309272, -5915.568858638169, -0.8435162299817659, -0.40043188318128686, -5.281483770018234, -5.7245681168187135, -153.06114283457876, -75.34856047309272, -36.93885716542123, -114.65143952690728]"
68,5916.084378639064,5922.715876864356,5916.084378639064,7629.677649508199,73.05643366428347,30.19367790222168,11,998,2,[  0.906095     0.46733336  46.93391196 124.69744643],"[-0.0002705031372022271, -0.019583835731222077, -1.4762966078706086, -115.30255357173844, -5916.084378639064, -0.8435950040319375, -0.4048333558626094, -5.281404995968062, -5.72016664413739, -153.06608803654223, -75.30255357173844, -36.93391196345779, -114.69744642826156]"
57,5916.165505291193,5919.269268435981,5916.165505291193,7080.8884868158675,45.28387858669834,31.090229272842407,10,999,1,[  0.90604073   0.45812268  46.93317599 124.70445144],"[-0.00023043767576591545, -0.010380180054665289, -2.5159098103176802, -115.29554855839152, -5916.165505291193, -0.8435407343378875, -0.3956226790265119, -5.281459265662113, -5.729377320973488, -153.06682400714396, -75.29554855839152, -36.933175992856036, -114.70445144160848]"
81,5916.257891893177,5920.506737874823,5916.308292484085,7909.370092232914,70.35823026872971,27.606727361679077,14,998,2,[  0.90592953   0.46393088  46.93302926 124.70857154],"[-0.00012206774790424202, -0.016189779157320727, -21.569202724145725, -115.29142845871486, -5916.257891893177, -0.8434295323714416, -0.40143087825102775, -5.281570467628558, -5.723569121748972, -153.06697074489443, -75.29142845871486, -36.93302925510556, -114.70857154128514]"
69,5916.264284550876,5924.155919292345,5916.264284550876,8339.021665248109,104.82151192553587,36.76265525817871,14,997,3,[  0.90582193   0.46404353  46.93215838 124.71365883],"[-3.1275161483601543e-05, -0.016310734983935316, -0.6401069667190313, -115.28634116594746, -5916.264284550876, -0.8433219318308611, -0.4015435258971924, -5.281678068169139, -5.723456474102807, -153.06784162334833, -75.28634116594746, -36.932158376651685, -114.71365883405254]"
85,5916.57858266881,5929.414765450884,5916.57858266881,15443.576025602762,304.4458843489188,77.55198240280151,18,999,1,[  0.90580191   0.46684468  46.929169   124.74157055],"[-6.894540178925546e-05, -0.019140409834412953, -1.0861250383313745, -115.25842944679239, -5916.57858266881, -0.8433019070574915, -0.4043446820725165, -5.281698092942508, -5.720655317927483, -153.07083100229522, -75.25842944679239, -36.92916899770478, -114.74157055320761]"
96,5916.876398208239,5939.6917155998735,5916.876398208239,11983.335308155258,284.62559483005344,29.019441843032837,23,996,4,[  0.90585445   0.4635756   46.92634189 124.76799034],"[-0.000176055606255221, -0.015898294542509017, -1.6393725499510765, -115.2320096617681, -5916.876398208239, -0.8433544541332075, -0.4010755961978004, -5.281645545866793, -5.7239244038022, -153.0736581074118, -75.2320096617681, -36.9263418925882, -114.7679903382319]"
20,5917.037132217749,5922.26763732039,5917.037132217749,7310.503003860267,55.94995543305402,39.717018842697144,8,999,1,[  0.90571971   0.46674967  46.92478048 124.78244904],"[-7.145092126914498e-05, -0.01908726100782132, -1.013013016898185, -115.21755096020338, -5917.037132217749, -0.8432197142020034, -0.40424966679529306, -5.281780285797996, -5.720750333204707, -153.07521951913293, -75.21755096020338, -36.92478048086706, -114.78244903979662]"
